ptr,hxw,kind,target,flip,mirror,orange,blue,white,black,dominant,note,placement,dir
8EC1,8x1,player,orange,True,False,6,0,9,49,orange,ok,new(untracked),content\player\scene6_player_8EC1
8EC1,8x1,guard,blue,False,True,0,6,9,49,blue,ok,new(untracked),content\guard\scene6_guard_8EC1_mir
9A2A,18x3,deferred,-,-,-,-,-,-,-,-,scenery/floor/HUD - deferred,-,-
83A8,13x4,player,orange,False,False,21,1,178,164,orange,ok,new(untracked),content\player\scene6_player_83A8
83A8,13x4,guard,blue,True,True,1,21,178,164,blue,ok,new(untracked),content\guard\scene6_guard_83A8_mir
8E9B,8x1,player,orange,False,False,21,0,22,21,orange,ok,new(untracked),content\player\scene6_player_8E9B
90D7,4x7,player,orange,False,False,16,0,73,119,orange,ok,new(untracked),content\player\scene6_player_90D7
90D7,4x7,guard,blue,True,True,0,16,73,119,blue,ok,new(untracked),content\guard\scene6_guard_90D7_mir
8ECB,10x3,guard,blue,False,True,3,34,15,188,blue,ok,new(untracked),content\guard\scene6_guard_8ECB_mir
81BD,19x5,player,orange,True,False,14,1,208,461,orange,ok,new(untracked),content\player\scene6_player_81BD
81BD,19x5,guard,blue,False,True,1,14,208,461,blue,ok,new(untracked),content\guard\scene6_guard_81BD_mir
83DE,19x5,player,orange,True,False,14,1,208,461,orange,ok,new(untracked),content\player\scene6_player_83DE
83DE,19x5,guard,blue,False,True,1,14,208,461,blue,ok,new(untracked),content\guard\scene6_guard_83DE_mir
92DF,4x6,player,orange,True,False,18,0,55,103,orange,ok,new(untracked),content\player\scene6_player_92DF
92DF,4x6,guard,blue,False,True,0,18,55,103,blue,ok,new(untracked),content\guard\scene6_guard_92DF_mir
843F,19x5,player,orange,True,False,20,1,191,472,orange,ok,new(untracked),content\player\scene6_player_843F
843F,19x5,guard,blue,False,True,1,20,191,472,blue,ok,new(untracked),content\guard\scene6_guard_843F_mir
9059,4x5,player,orange,True,False,9,0,72,63,orange,ok,new(untracked),content\player\scene6_player_9059
9059,4x5,guard,blue,False,True,0,9,72,63,blue,ok,new(untracked),content\guard\scene6_guard_9059_mir
821E,9x4,player,orange,True,False,22,0,138,92,orange,ok,new(untracked),content\player\scene6_player_821E
821E,9x4,guard,blue,False,True,0,22,138,92,blue,ok,new(untracked),content\guard\scene6_guard_821E_mir
804D,25x3,player,orange,False,False,21,0,178,401,orange,ok,new(untracked),content\player\scene6_player_804D
804D,25x3,guard,blue,True,True,0,21,178,401,blue,ok,new(untracked),content\guard\scene6_guard_804D_mir
9A18,8x2,deferred,-,-,-,-,-,-,-,-,scenery/floor/HUD - deferred,-,-
93AB,25x5,player,orange,True,False,156,0,561,183,orange,ok,new(untracked),content\player\scene6_player_93AB
942A,20x5,player,orange,True,False,144,0,66,510,orange,ok,new(untracked),content\player\scene6_player_942A
899C,24x2,player,orange,False,False,21,0,125,238,orange,ok,new(untracked),content\player\scene6_player_899C
899C,24x2,guard,blue,True,True,0,21,125,238,blue,ok,new(untracked),content\guard\scene6_guard_899C_mir
90F5,4x2,player,orange,False,False,10,0,22,32,orange,ok,new(untracked),content\player\scene6_player_90F5
90F5,4x2,guard,blue,True,True,0,10,22,32,blue,ok,new(untracked),content\guard\scene6_guard_90F5_mir
8ACB,14x2,player,orange,False,False,0,0,108,116,tie,F1:no-chroma(all-white/black),new(untracked),content\player\scene6_player_8ACB
8ACB,14x2,guard,blue,False,True,0,0,108,116,tie,F1:no-chroma(all-white/black),new(untracked),content\guard\scene6_guard_8ACB_mir
8654,19x5,player,orange,True,False,18,1,221,444,orange,ok,new(untracked),content\player\scene6_player_8654
8654,19x5,guard,blue,False,True,1,18,221,444,blue,ok,new(untracked),content\guard\scene6_guard_8654_mir
85F3,19x5,player,orange,True,False,17,1,204,462,orange,ok,new(untracked),content\player\scene6_player_85F3
85F3,19x5,guard,blue,False,True,1,17,204,462,blue,ok,new(untracked),content\guard\scene6_guard_85F3_mir
